n,koff
0.01,100000.
0.11,9090.909090909092
0.21000000000000002,4761.9047619047615
0.31000000000000005,3225.8064516129025
0.41000000000000003,2439.0243902439024
0.51,1960.7843137254902
0.6100000000000001,1639.3442622950818
0.7100000000000001,1408.450704225352
0.81,1234.567901234568
0.91,1098.9010989010987
1.01,990.09900990099
1.11,900.9009009009008
1.2100000000000002,826.4462809917354
1.31,763.3587786259542
1.4100000000000001,709.2198581560283
1.51,662.2516556291391
1.61,621.1180124223602
1.7100000000000002,584.7953216374269
1.81,552.4861878453039
1.9100000000000001,523.5602094240837
2.01,497.51243781094536
2.11,473.93364928909955
2.21,452.4886877828054
2.31,432.9004329004329
2.41,414.93775933609953
2.51,398.40637450199205
2.61,383.1417624521073
2.71,369.00369003690037
2.81,355.87188612099646
2.91,343.64261168384877
3.01,332.22591362126246
3.11,321.54340836012864
3.21,311.5264797507788
3.31,302.11480362537765
3.41,293.2551319648093
3.51,284.90028490028493
3.61,277.0083102493075
3.71,269.54177897574124
3.81,262.4671916010499
3.91,255.75447570332483
4.01,249.37655860349128
4.11,243.30900243309
4.21,237.52969121140143
4.31,232.01856148491882
4.41,226.75736961451244
4.51,221.72949002217297
4.61,216.91973969631235
4.71,212.31422505307856
4.8100000000000005,207.90020790020787
4.91,203.66598778004072
5.01,199.6007984031936
5.11,195.69471624266143
5.21,191.93857965451056
5.3100000000000005,188.32391713747646
5.41,184.84288354898337
5.51,181.48820326678765
5.61,178.25311942959001
5.71,175.13134851138355
5.8100000000000005,172.1170395869191
5.91,169.20473773265653
6.01,166.3893510815308
6.11,163.6661211129296
6.21,161.0305958132045
6.3100000000000005,158.47860538827257
6.41,156.00624024961
6.51,153.60983102918587
6.61,151.28593040847198
6.71,149.03129657228018
6.8100000000000005,146.84287812041114
6.91,144.7178002894356
7.01,142.65335235378032
7.11,140.64697609001405
7.21,138.69625520110955
7.3100000000000005,136.79890560875512
7.41,134.9527665317139
7.51,133.15579227696406
7.61,131.4060446780552
7.71,129.7016861219196
7.8100000000000005,128.04097311139566
7.91,126.42225031605561
8.01,124.84394506866417
8.11,123.30456226880396
8.21,121.80267965895248
8.31,120.33694344163658
8.41,118.90606420927467
8.51,117.50881316098707
8.61,116.14401858304298
8.71,114.81056257175659
8.81,113.50737797956867
8.91,112.2334455667789
9.01,110.98779134295228
9.11,109.76948408342481
9.21,108.57763300760043
9.31,107.41138560687433
9.41,106.26992561105207
9.51,105.15247108307045
9.610000000000001,104.05827263267427
9.71,102.98661174047373
9.81,101.9367991845056
9.91,100.90817356205852
10.01,99.9000999000999
10.110000000000001,98.91196834817012
10.21,97.9431929480901
10.31,96.99321047526672
10.41,96.06147934678194
10.51,95.14747859181732
10.610000000000001,94.25070688030158
10.71,93.3706816059757
10.81,92.50693802035153
10.91,91.6590284142988
11.01,90.82652134423252
11.110000000000001,90.00900090009
11.21,89.20606601248885
11.31,88.41732979664013
11.41,87.64241893076249
11.51,86.88097306689835
11.610000000000001,86.13264427217915
11.71,85.39709649871904
11.81,84.67400508044031
11.91,83.9630562552477
12.01,83.26394671107411
12.110000000000001,82.57638315441783
12.21,81.9000819000819
12.31,81.23476848090982
12.41,80.58017727639002
12.51,79.93605115907275
12.610000000000001,79.30214115781126
12.71,78.67820613690007
12.81,78.064012490242
12.91,77.45933384972889
13.01,76.86395080707148
13.110000000000001,76.27765064836002
13.21,75.70022710068129
13.31,75.13148009015777
13.41,74.57121551081282
13.51,74.01924500370097
13.610000000000001,73.47538574577516
13.71,72.93946024799416
13.81,72.4112961622013
13.91,71.89072609633357
14.01,71.37758743754462
14.110000000000001,70.87172218284904
14.21,70.37297677691765
14.31,69.88120195667365
14.41,69.39625260235947
14.51,68.91798759476224
14.610000000000001,68.44626967830253
14.71,67.98096532970769
14.81,67.52194463200539
14.91,67.0690811535882
15.01,66.62225183211193
15.110000000000001,66.18133686300463
15.21,65.74621959237344
15.31,65.31678641410844
15.41,64.89292667099286
15.51,64.47453255963894
15.610000000000001,64.06149903907752
15.71,63.65372374283895
15.81,63.25110689437065
15.91,62.853551225644246
16.01,62.46096189881323
16.110000000000003,62.07324643078832
16.21,61.69031462060456
16.310000000000002,61.312078479460446
