c,<n>/kpt
0.001,0.00006666222251849876
0.011,0.000732795949636933
0.021,0.0013980427401637705
0.031,0.002062404364313752
0.041,0.0027258825875939104
0.051000000000000004,0.0033884791708192145
0.061,0.004050195870128145
0.07100000000000001,0.004711034436998209
0.081,0.0053709966182613885
0.091,0.0060300841561195416
0.101,0.0066882987881597255
0.111,0.007345642247369465
0.121,0.008002116262151974
0.131,0.008657722556341287
0.14100000000000001,0.009312462849217357
0.151,0.009966338855521088
0.161,0.010619352285469298
0.171,0.011271504844769627
0.181,0.0119227982346354
0.191,0.012573234151800408
0.201,0.013222814288533648
0.211,0.013871540332654
0.221,0.01451941396754484
0.231,0.015166436872168603
0.241,0.015812610721081293
0.251,0.016457937184446922
0.261,0.017102417928051894
0.271,0.017746054613319365
0.281,0.018388848897323475
0.291,0.01903080243280361
0.301,0.019671916868178548
0.311,0.020312193847560576
0.321,0.02095163501076953
0.331,0.021590241993346814
0.341,0.022228016426569325
0.35100000000000003,0.022864959937463358
0.361,0.023501074148818434
0.371,0.024136360679201097
0.381,0.024770821142968594
0.391,0.025404457150282632
0.401,0.026037270307122915
0.41100000000000003,0.02666926221530076
0.421,0.0273004344724726
0.431,0.027930788672153456
0.441,0.028560326403730324
0.451,0.02918904925247557
0.461,0.029816958799560186
0.47100000000000003,0.03044405662206709
0.481,0.031070344293004325
0.491,0.03169582338131818
0.501,0.03232049545190632
0.511,0.03294436206563084
0.521,0.03356742477933124
0.531,0.034189685145837354
0.541,0.034811144713982375
0.551,0.03543180502861553
0.561,0.036051667630615
0.5710000000000001,0.036670734056900654
0.581,0.0372890058404467
0.591,0.037906484510294394
0.601,0.03852317159156464
0.611,0.0391390686054705
0.621,0.039754177069329745
0.631,0.04036849849657732
0.641,0.04098203439677771
0.651,0.041594786275637334
0.661,0.042206755635016927
0.671,0.04281794397294366
0.681,0.04342835278362349
0.6910000000000001,0.04403798355745332
0.7010000000000001,0.04464683778103306
0.711,0.045254916937177765
0.721,0.0458622225049297
0.731,0.04646875595957027
0.741,0.04707451877263199
0.751,0.04767951241191035
0.761,0.0482837383414758
0.771,0.04888719802168537
0.781,0.0494898929091946
0.791,0.050091824456969164
0.801,0.05069299411429656
0.811,0.0512934033267978
0.8210000000000001,0.051893053536438916
0.8310000000000001,0.05249194618154254
0.841,0.053090082696799434
0.851,0.053687464513279916
0.861,0.05428409305844525
0.871,0.05487996975615903
0.881,0.05547509602669857
0.891,0.05606947328676609
0.901,0.056663102949500034
0.911,0.057255986424486205
0.921,0.05784812511776899
0.931,0.05843952043186241
0.9410000000000001,0.05903017376576125
0.9510000000000001,0.05962008651495204
0.961,0.060209260071424096
0.971,0.06079769582368042
0.981,0.061385395156748644
0.991,0.06197235945219185
1.001,0.06255859008811948
1.011,0.06314408843919805
1.021,0.06372885587666187
1.031,0.06431289376832387
1.041,0.06489620347858613
1.051,0.06547878636845056
1.061,0.06606064379552953
1.071,0.06664177711405637
1.081,0.06722218767489584
1.091,0.06780187682555466
1.101,0.06838084591019192
1.111,0.06895909626962944
1.121,0.0695366292413622
1.131,0.07011344615956853
1.141,0.0706895483551205
1.151,0.07126493715559408
1.1609999999999998,0.07183961388527936
1.1709999999999998,0.07241357986519076
1.1809999999999998,0.07298683641307706
1.1909999999999998,0.07355938484343152
1.2009999999999998,0.07413122646750199
1.2109999999999999,0.07470236259330083
1.2209999999999999,0.07527279452561493
1.2309999999999999,0.07584252356601563
1.2409999999999999,0.07641155101286866
1.251,0.07697987816134391
1.261,0.07754750630342537
1.271,0.07811443672792083
1.281,0.0786806707204717
1.291,0.0792462095635627
