x,Err_x
0.001,238.83153742639473
0.051000000000000004,0.18449597736527396
0.101,0.11550046585421804
0.15100000000000002,0.102632486931051
0.201,0.09583553951613898
0.251,0.08874876473090323
0.30100000000000005,0.08175366472252417
0.35100000000000003,0.0755835764019291
0.401,0.07041190276905154
0.451,0.06613411543248884
0.501,0.06258634042827069
0.65,0.05503231927046086
0.75,0.0516293768117066
0.5,0.06265114755603989
1.,0.046329107956618355
1.5,0.04219896090774618
2.,0.04168054385084894
2.5,0.04283033032595785
3.,0.044945788476041075
3.5,0.047693107927617044
4.,0.05087992536250217
4.5,0.054378358443937846
5.,0.058094234855772704
5.5,0.06195327675947188
6.,0.06589429798807879
6.5,0.06986555134316502
7.,0.07382259044995805
7.5,0.07772692190801091
8.,0.08154511792163033
8.5,0.08524822771275824
9.,0.08881139215773395
9.5,0.09221359061316849
10.,0.09543746104686443
10.5,0.09846914614442484
11.,0.10129813149450335
11.5,0.10391705587620295
12.,0.10632148600275737
12.5,0.10850965743613693
13.,0.11048218936892358
13.5,0.1122417838982963
14.,0.11379292099565093
14.5,0.1151415593937842
15.,0.11629485177141771
15.5,0.11726088044636314
16.,0.11804841765351652
16.5,0.11866671259228903
17.,0.1191253058779478
17.5,0.11943387084483006
18.,0.11960208030306113
18.5,0.11963949679745783
19.,0.11955548410230521
19.5,0.11935913755418162
20.,0.1190592308276971
