c,Err_c
0.002,5010.0219242393605
0.004,2510.0238569549056
0.006,1676.692464809515
0.008,1260.027747799446
0.01,1010.0297059209879
0.012,843.3650058371375
0.014,724.3193618299726
0.016,635.0356310387501
0.018000000000000002,565.5931785392711
0.020000000000000004,510.0396233756247
0.022,464.58708675643726
0.024,426.71031615299484
0.026000000000000002,394.6610598136186
0.028000000000000004,367.19056648616277
0.03,343.3830852515161
0.032,322.5518029195361
0.034,304.1715094028931
0.036000000000000004,287.8337079662961
0.038000000000000006,273.21590118649146
0.04,260.0600911242604
0.042,248.15742230441802
0.044000000000000004,237.33701297399412
0.046,227.45769994523624
0.048,218.40184722786157
0.05,210.0706405895692
0.052000000000000005,202.3804679872019
0.054000000000000006,195.26010434654032
0.056,188.64849960356815
0.058,182.49302439237306
0.060000000000000005,176.74806659546695
0.062,171.37389952952813
0.064,166.33576234631693
0.066,161.6031076334243
0.068,157.14898179135963
0.07,152.9495116317083
0.07200000000000001,148.98347654226382
0.07400000000000001,145.23195003078618
0.076,141.67799786711512
0.078,138.30642266495727
0.08,135.10354677640603
0.082,132.0570269579945
0.084,129.15569551302667
0.08600000000000001,126.38942360009521
0.08800000000000001,123.74900318134637
0.09,121.22604471097645
0.092,118.81288816870703
0.094,116.50252545068854
0.096,114.28853246154118
0.098,112.16500952165603
0.1,110.12652892561984
0.10200000000000001,108.16808867023701
0.10400000000000001,106.28507152162602
0.10600000000000001,104.4732087162293
0.108,102.7285476950441
0.11,101.04742335775579
0.112,99.42643239678517
0.114,97.8624103330148
0.116,96.35241092713042
0.11800000000000001,94.89368768472355
0.12000000000000001,93.48367721088435
0.122,92.11998420204726
0.124,90.800367890239
0.126,89.52272977835005
0.128,88.2851025252251
0.13,87.08563985674438
0.132,85.92260739408015
0.134,84.79437430330259
0.136,83.69940568178585
0.138,82.63625560666512
0.14,81.60356077914085
0.14200000000000002,80.60003470588329
0.14400000000000002,79.62446236532078
0.14600000000000002,78.67569531231439
0.148,77.75264717975175
0.15,76.8542895400126
0.152,75.97964809316115
