c,<n>/kpt
0.001,-0.0002933532123354772
0.011,-0.00046038808458087306
0.021,-0.00024940258207418347
0.031,0.00006220732221836906
0.041,0.00042722261297525963
0.051000000000000004,0.0008265975115345067
0.061,0.0012503742410248445
0.07100000000000001,0.0016925677309841207
0.081,0.002149246953353993
0.091,0.002617665217927824
0.101,0.0030958135159609834
0.111,0.003582169652900442
0.121,0.004075547483540496
0.131,0.004575001363652373
0.14100000000000001,0.005079762942201717
0.151,0.005589197841316794
0.161,0.0061027750705087685
0.171,0.006620044877514522
0.181,0.007140622353992133
0.191,0.007664175067187136
0.201,0.00819041357100285
0.211,0.008719084016981876
0.221,0.009249962323498943
0.231,0.009782849519280941
0.241,0.010317567984393712
0.251,0.010853958385836453
0.261,0.011391877156957494
0.271,0.011931194407136442
0.281,0.012471792175186333
0.291,0.013013562959785872
0.301,0.013556408475028908
0.311,0.014100238590301106
0.321,0.014644970422153627
0.331,0.01519052755234097
0.341,0.015736839351225582
0.35100000000000003,0.0162838403896874
0.361,0.016831469925776815
0.371,0.017379671454809953
0.381,0.017928392313571486
0.391,0.018477583330872013
0.401,0.019027198517987003
0.41100000000000003,0.019577194793546936
0.421,0.020127531738301223
0.431,0.020678171375880766
0.441,0.02122907797626476
0.451,0.021780217879139734
0.461,0.022331559334741694
0.47100000000000003,0.022883072360109807
0.481,0.023434728608964138
0.491,0.023986501253660062
0.501,0.024538364877875734
0.511,0.025090295378862072
0.521,0.025642269878232878
0.531,0.026194266640399415
0.541,0.026746264997863086
0.551,0.02729824528267305
0.561,0.027850188763437984
0.5710000000000001,0.028402077587350583
0.581,0.028953894726745186
0.591,0.02950562392976229
0.601,0.030057249674740064
0.611,0.03060875712799395
0.621,0.031160132104681555
0.631,0.03171136103248104
0.641,0.03226243091783947
0.651,0.03281332931457208
0.661,0.03336404429461504
0.671,0.033914564420753496
0.681,0.034464878721164424
0.6910000000000001,0.03501497666562829
0.7010000000000001,0.035564848143277594
0.711,0.03611448344176271
0.721,0.03666387322772581
0.731,0.03721300852848385
0.741,0.03776188071483023
0.751,0.038310481484872566
0.761,0.03885880284883135
0.771,0.039406837114730205
0.781,0.039954576874914785
0.791,0.040502014993342245
0.801,0.04104914459358807
0.811,0.0415959590475213
0.8210000000000001,0.0421424519646031
0.8310000000000001,0.04268861718176725
0.841,0.04323444875384422
0.851,0.04377994094449361
0.861,0.04432508821761213
0.871,0.044869885229187126
0.881,0.045414326819567696
0.891,0.04595840800612729
0.901,0.04650212397629407
0.911,0.047045470080926466
0.921,0.047588441828013486
0.931,0.048131034876680225
0.9410000000000001,0.048673245031480974
0.9510000000000001,0.04921506823696295
0.961,0.04975650057248528
0.971,0.050297538247278666
0.981,0.050838177595732205
0.991,0.05137841507289468
1.001,0.05191824725017857
1.011,0.052457670811255644
1.021,0.05299668254813372
1.031,0.053535279357405305
1.041,0.05407345823665824
1.051,0.05461121628104071
1.061,0.05514855067997198
1.071,0.055685458713991665
1.081,0.056221937751740225
1.091,0.05675798524706446
1.101,0.0572935987362412
1.111,0.057828775835313845
1.121,0.05836351423753589
1.131,0.05889781171091628
1.141,0.05943166609586173
1.151,0.0599650753029115
1.1609999999999998,0.06049803731055976
1.1709999999999998,0.06103055016316217
1.1809999999999998,0.06156261196892194
1.1909999999999998,0.06209422089795234
1.2009999999999998,0.06262537518041188
1.2109999999999999,0.06315607310470873
1.2209999999999999,0.06368631301577159
1.2309999999999999,0.06421609331338371
1.2409999999999999,0.06474541245057752
1.251,0.065274268932087
1.261,0.06580266131285543
1.271,0.06633058819659597
1.281,0.066858048234403
1.291,0.0673850401234118
1.301,0.0679115626055048
1.311,0.06843761446606214
1.321,0.06896319453275508
1.331,0.06948830167438017
1.341,0.07001293479973252
1.351,0.07053709285651676
1.361,0.07106077483029424
1.371,0.07158397974346452
1.381,0.07210670665428029
1.391,0.07262895465589442
1.401,0.07315072287543734
1.4109999999999998,0.07367201047312409
1.4209999999999998,0.07419281664138987
1.4309999999999998,0.0747131406040524
1.4409999999999998,0.07523298161550113
1.4509999999999998,0.075752338959911
1.4609999999999999,0.07627121195048109
1.4709999999999999,0.07678959992869622
1.4809999999999999,0.07730750226361129
1.4909999999999999,0.07782491835115707
1.501,0.07834184761346719
1.511,0.07885828949822497
1.521,0.07937424347802977
1.531,0.07988970904978197
1.541,0.08040468573408618
1.551,0.08091917307467153
1.561,0.08143317063782901
1.571,0.08194667801186488
1.581,0.08245969480656978
1.591,0.08297222065270277
1.601,0.0834842552014903
1.611,0.0839957981241388
1.621,0.08450684911136122
1.631,0.0850174078729166
1.641,0.08552747413716233
1.651,0.08603704765061859
1.661,0.08654612817754509
1.6709999999999998,0.08705471549952859
1.6809999999999998,0.08756280941508225
1.6909999999999998,0.08807040973925524
1.7009999999999998,0.08857751630325297
1.7109999999999999,0.0890841289540673
1.7209999999999999,0.08959024755411661
1.7309999999999999,0.09009587198089526
1.7409999999999999,0.09060100212663198
1.751,0.09110563789795756
1.761,0.09160977921558071
1.771,0.09211342601397238
1.781,0.0926165782410582
1.791,0.09311923585791874
1.801,0.09362139883849703
