c,Err_c
0.02,1.0401528282718648
0.03,0.5225120650417949
0.04,0.35111436468956236
0.05,0.26563354140607137
0.06,0.21441740621993177
0.07,0.18030543586101952
0.08,0.15595699392851142
0.09000000000000001,0.1377063034655063
0.1,0.12351861273237831
0.11,0.11217387560454967
0.12000000000000001,0.10289609782201736
0.13,0.09516816291144024
0.13999999999999999,0.0886321880911438
0.15,0.08303261494990312
0.16,0.07818207885624043
0.16999999999999998,0.07394008524513539
0.18,0.07019921629559323
0.19,0.06687593790578722
0.19999999999999998,0.06390431123785399
0.21,0.061231591730781965
0.22,0.05881508612941875
0.22999999999999998,0.056619867072045894
0.24,0.05461708412837627
0.25,0.05278269725169913
0.25,0.05278269725169913
1.25,0.020976966750021316
2.25,0.021754118476707846
3.25,0.02678897958430264
4.25,0.03450609936359476
5.25,0.04455308585482108
6.25,0.0568195246053903
7.25,0.07126979103230373
8.25,0.08789788681856786
9.25,0.10671166016693075
10.25,0.12772627620968732
11.25,0.15096117046654636
12.25,0.1764384947402856
13.25,0.20418226821984126
14.25,0.2342178883896438
15.25,0.26657183725719535
16.25,0.30127149918992996
17.25,0.338345045355594
18.25,0.37782135942287143
19.25,0.4197299896753668
20.25,0.4641011185384731
21.25,0.5109655438974293
22.25,0.560354668601767
23.25,0.6123004957903162
24.25,0.6668356284517459
25.25,0.7239932721391419
26.25,0.7838072400886827
27.25,0.8463119602149557
28.25,0.911542483607401
29.25,0.9795344942577847
30.25,1.0503243198228671
