c,Err_koff
0.0025,-3155.4686821151386
0.0125,9953.17999747316
0.0225,5345.604887806071
0.0325,3745.7635808779537
0.0425,2906.585592155633
0.052500000000000005,2385.825298826896
0.0625,2030.1841471879047
0.07250000000000001,1771.5609572108403
0.0825,1574.8977954254403
0.0925,1420.2551584989963
0.10250000000000001,1295.4381781551338
0.1125,1192.5627005264053
0.1225,1106.3023909332458
0.1325,1032.927960819434
0.14250000000000002,969.7496818700024
0.1525,914.7784110056805
0.1625,866.511245730129
0.17250000000000001,823.791395748061
0.1825,785.7139063152232
0.1925,751.5606235006147
0.2025,720.7543345850639
0.2125,692.8257929364355
0.2225,667.3895910551961
0.2325,644.1262295410745
0.2425,622.7686009634198
0.25,607.8642980708794
1.25,220.16542124287264
2.25,176.87593969585458
3.25,160.2594164239531
4.25,151.48696321325917
5.25,146.06874531875206
6.25,142.38945782181028
7.25,139.72667437359286
8.25,137.70936528981122
9.25,136.127571604466
10.25,134.85358860200134
11.25,133.80527261704157
12.25,132.92737414214838
13.25,132.1813534252216
14.25,131.53949982630965
15.25,130.98137285371428
16.25,130.49156134296007
17.25,130.05822409683017
18.25,129.6721113266071
19.25,129.3258915826312
20.25,129.01367832928273
21.25,128.7306902753959
22.25,128.47300331838477
23.25,128.23736649048416
24.25,128.0210634198798
25.25,127.82180668455312
26.25,127.63765628753558
27.25,127.46695605888064
28.25,127.3082835447667
29.25,127.16041015851216
30.25,127.02226922105838
