c,Err_c
0.002,5060.729974265347
0.004,2535.409655469306
0.006,1693.6375294204618
0.008,1272.7524575049501
0.01,1020.2222119999999
0.012,851.8693836646862
0.014,731.6179399671852
0.016,641.429864641584
0.018000000000000002,571.2840375401539
0.020000000000000004,515.1677865742574
0.022,469.254865869307
0.024,430.99444484224426
0.026000000000000002,398.6205638586443
0.028000000000000004,370.8718231796321
0.03,346.8231963300331
0.032,325.7809134534654
0.034,307.2144446597553
0.036000000000000004,290.711155589879
0.038000000000000006,275.9452822761854
0.04,262.6562135445545
0.042,250.6329784445073
0.044000000000000004,239.70296438019804
0.046,229.7235783376668
0.048,220.5759928052805
0.05,212.16039267326732
0.052000000000000005,204.39231900258943
0.054000000000000006,197.19982528962228
0.056,190.52124310268738
0.058,184.30341000068287
0.060000000000000005,178.50025186798675
0.062,173.07163963615454
0.064,167.98246037029705
0.066,163.20185724884487
0.068,158.70260366453115
0.07,154.46058462234794
0.07200000000000001,150.4543645711771
0.07400000000000001,146.66482531677818
0.076,143.0748611064096
0.078,139.66912062350852
0.08,136.4337876831683
0.082,133.35639402096115
0.084,130.42565882621403
0.08600000000000001,127.63135066599126
0.08800000000000001,124.96416823762374
0.09,122.41563702090205
0.092,119.97801941041757
0.094,117.64423632037078
0.096,115.40779858877886
0.098,113.26274678116795
0.1,111.20359821782179
0.10200000000000001,109.22530023311978
0.10400000000000001,107.32318882802741
0.10600000000000001,105.49295200343735
0.108,103.73059716758344
0.11,102.03242209900992
0.112,100.39498902065063
0.114,98.8151014029529
0.116,97.28978316667806
0.11800000000000001,95.81626000067125
0.12000000000000001,94.39194254785481
0.122,93.01441124505759
0.124,91.68140262995847
0.126,90.39079695212946
0.128,89.14060694554455
0.13,87.9289676374714
0.132,86.75412708382837
0.134,85.61443793421012
0.136,84.50834974117649
0.138,83.43440193829818
0.14,82.39121742008486
0.14200000000000002,81.37749666445406
0.14400000000000002,80.39201234499448
0.14600000000000002,79.43360438605723
0.148,78.50117541878511
0.15,77.59368660066005
0.152,76.71015376508598
0.154,75.84964387100423
0.156,75.01127172561564
0.158,74.19419695600952
0.16,73.39762120792079
0.162,72.6207855519863
0.164,71.86296807978748
0.166,71.1234816736729
0.168,70.40167193587929
0.17,69.69691526383227
0.17200000000000001,69.00861705972831
0.17400000000000002,68.33621006359394
0.17600000000000002,67.6791528
0.178,67.03692812949159
0.18,66.40904189658967
0.182,65.79502166693504
0.184,65.19441554679295
0.186,64.6067910787182
0.188,64.03173420771014
0.19,63.46884831266285
0.192,62.91775329834984
0.194,62.37808474357456
0.196,61.84949310147504
0.198,61.33164294829482
0.2,60.82421227722771
0.202,60.32689183421232
0.20400000000000001,59.839384492797514
0.20600000000000002,59.361404665423436
0.20800000000000002,58.892677748667175
0.21000000000000002,58.432939600188575
0.212,57.98193604528303
0.214,57.53942241110392
0.216,57.10516308676201
0.218,56.67893110763922
0.22,56.26050776237624
0.222,55.849682221104274
0.224,55.446251183592636
0.226,55.05001854607903
0.228,54.66079508563486
0.23,54.278398160998705
0.232,53.90265142888357
0.234,53.53338457483287
0.23600000000000002,53.170433057761365
0.23800000000000002,52.813637867376656
0.24000000000000002,52.462845293729366
0.242,52.11790670819084
0.244,51.778678355202075
0.246,51.44502115418177
0.248,51.11680051101884
0.25,50.79388613861387
0.252,50.47615188596575
0.254,50.16347557533329
0.256,49.855738847029706
0.258,49.552827011436015
0.26,49.25462890784462
0.262,48.96103676976797
0.264,48.67194609636962
0.266,48.38725552969552
0.268,48.10686673740209
0.27,47.83068430069674
0.272,47.5586156072219
0.274,47.290570748630486
0.276,47.02646242261442
0.278,46.766205839162325
0.28,46.509718630834506
0.28200000000000003,46.256920766856254
0.28400000000000003,46.00773447084088
0.28600000000000003,45.762084141964976
0.28800000000000003,45.51989627942793
0.29000000000000004,45.28109941003756
0.292,45.045624018771186
0.294,44.81340248217148
0.296,44.584369004442074
0.298,44.35845955611668
0.3,44.13561181518152
0.302,43.91576511053702
0.304,43.6988603676915
0.306,43.48484005658448
0.308,43.27364814144272
0.31,43.06523003257747
0.312,42.859532540035545
0.314,42.656503829021894
0.316,42.45609337701467
0.318,42.2582519324989
0.32,42.06293147524754
0.322,41.87008517808253
0.324,41.679667370052556
0.326,41.491633500965804
0.328,41.30594010722048
0.33,41.122544778877874
0.332,40.94140612792556
0.334,40.76248375768068
0.336,40.58573823328618
0.338,40.41113105325444
0.34,40.238624622015145
0.342,40.06818222342656
0.34400000000000003,39.899767995210695
0.34600000000000003,39.733346904275166
0.34800000000000003,39.56888472288608
0.35000000000000003,39.40634800565771
0.35200000000000004,39.24570406732672
0.354,39.08692096127986
0.356,38.92996745880521
0.358,38.77481302903923
0.36,38.62142781958195
0.362,38.46978263775505
0.364,38.31984893247742
0.366,38.17159877673538
0.368,38.025004850624185
0.37,37.8800404249398
0.372,37.736679345299684
0.374,37.59489601677345
0.376,37.45466538900358
0.378,37.315962941798944
0.38,37.17876467118291
0.382,37.04304707587996
0.384,36.90878714422442
0.386,36.77596234147643
0.388,36.64455059752985
0.39,36.51453029499872
0.392,36.38588025766822
0.394,36.25857973929739
0.396,36.13260841276127
0.398,36.00794635952038
0.4,35.884574059405935
0.402,35.76247238071031
0.404,35.64162257057153
0.406,35.52200624564209
0.40800000000000003,35.40360538303243
0.41000000000000003,35.286402311518955
0.41200000000000003,35.17037970300874
0.41400000000000003,35.0555205642512
0.41600000000000004,34.94180822878902
0.41800000000000004,34.829226349140164
0.42,34.71775888920321
0.422,34.607390116878605
0.424,34.49810459689893
0.426,34.38988718386092
0.428,34.28272301545295
0.43,34.17659750587151
0.432,34.07149633942061
0.434,33.967405464288
0.436,33.86431108649287
0.438,33.76219966399928
0.44,33.6610579009901
0.442,33.56087274229649
0.444,33.46163136797788
0.446,33.36332118804777
0.448,33.26592983734088
0.45,33.16944517051706
0.452,33.07385525719793
0.454,32.97914837723207
0.456,32.885313016084766
0.458,32.792337860348475
0.46,32.70021179337064
0.462,32.60892389099482
0.464,32.518463417412086
0.466,32.42881982111927
0.468,32.339982730980786
0.47000000000000003,32.251941952390986
0.47200000000000003,32.16468746353414
