c,Err_koff
0.002,61.22620800000002
0.004,30.674207999999997
0.006,20.490207999999996
0.008,15.398208000000002
0.01,12.343007999999994
0.012,10.306208
0.014,8.851350857142853
0.016,7.7602079999999996
0.018000000000000002,6.911541333333332
0.020000000000000004,6.232607999999996
0.022,5.677117090909092
0.024,5.214208000000002
0.026000000000000002,4.822515692307691
0.028000000000000004,4.4867794285714275
0.03,4.1958079999999995
0.032,3.941208
0.034,3.716560941176472
0.036000000000000004,3.516874666666666
0.038000000000000006,3.338207999999998
0.04,3.1774080000000002
0.042,3.0319222857142862
0.044000000000000004,2.8996625454545453
0.046,2.778903652173912
0.048,2.668207999999999
0.05,2.5663679999999998
0.052000000000000005,2.472361846153846
0.054000000000000006,2.385319111111111
0.056,2.3044937142857145
0.058,2.22924248275862
0.060000000000000005,2.159008
0.062,2.0933047741935487
0.064,2.031708
0.066,1.9738443636363627
0.068,1.919384470588235
0.07,1.8680365714285712
0.07200000000000001,1.8195413333333332
0.07400000000000001,1.7736674594594597
0.076,1.7302079999999995
0.078,1.6889772307692312
0.08,1.649808
0.082,1.6125494634146347
0.084,1.5770651428571425
0.08600000000000001,1.543231255813954
0.08800000000000001,1.5109352727272733
0.09,1.480074666666666
0.092,1.4505558260869569
0.094,1.4222931063829785
0.096,1.3952079999999998
0.098,1.3692284081632653
0.1,1.344288
0.10200000000000001,1.320325647058824
0.10400000000000001,1.297284923076923
0.10600000000000001,1.2751136603773576
0.108,1.2537635555555562
0.11,1.2331898181818188
0.112,1.213350857142857
0.114,1.194208
0.116,1.1757252413793098
0.11800000000000001,1.1578690169491521
0.12000000000000001,1.1406080000000005
0.122,1.1239129180327871
0.124,1.1077563870967746
0.126,1.092112761904762
0.128,1.0769579999999999
0.13,1.0622695384615384
0.132,1.0480261818181822
0.134,1.0342080000000002
0.136,1.0207962352941182
0.138,1.0077732173913039
0.14,0.9951222857142847
0.14200000000000002,0.9828277183098598
0.14400000000000002,0.9708746666666662
0.14600000000000002,0.9592490958904114
0.148,0.9479377297297298
0.15,0.9369280000000009
0.152,0.9262080000000001
0.154,0.9157664415584416
0.156,0.9055926153846153
0.158,0.8956763544303803
0.16,0.8860080000000006
0.162,0.8765783703703711
0.164,0.8673787317073173
0.166,0.8584007710843361
0.168,0.849636571428572
0.17,0.8410785882352936
0.17200000000000001,0.8327196279069768
0.17400000000000002,0.8245528275862067
0.17600000000000002,0.8165716363636357
0.178,0.8087697977528092
0.18,0.8011413333333333
0.182,0.7936805274725274
0.184,0.7863819130434783
0.186,0.7792402580645165
0.188,0.7722505531914894
0.19,0.7654080000000004
0.192,0.7587080000000003
0.194,0.7521461443298977
0.196,0.7457182040816334
0.198,0.739420121212121
0.2,0.7332480000000002
0.202,0.7271980990099015
0.20400000000000001,0.7212668235294118
0.20600000000000002,0.7154507184466015
0.20800000000000002,0.7097464615384618
0.21000000000000002,0.7041508571428572
0.212,0.6986608301886793
0.214,0.6932734205607484
0.216,0.6879857777777783
0.218,0.6827951559633024
0.22,0.6776989090909089
0.222,0.6726944864864854
0.224,0.6677794285714282
0.226,0.6629513628318577
0.228,0.6582080000000006
0.23,0.6535471304347821
0.232,0.648966620689655
0.234,0.6444644102564107
0.23600000000000002,0.6400385084745759
0.23800000000000002,0.6356869915966388
0.24000000000000002,0.6314080000000003
0.242,0.6271997355371903
0.244,0.6230604590163933
0.246,0.6189884878048776
0.248,0.6149821935483876
0.25,0.6110399999999999
0.252,0.6071603809523812
0.254,0.6033418582677174
0.256,0.5995830000000011
0.258,0.5958824186046511
0.26,0.5922387692307702
0.262,0.5886507480916033
0.264,0.5851170909090915
0.266,0.5816365714285718
0.268,0.578208
0.27,0.5748302222222212
0.272,0.5715021176470593
0.274,0.5682225985401457
0.276,0.5649906086956515
0.278,0.5618051223021586
0.28,0.5586651428571436
0.28200000000000003,0.5555697021276597
0.28400000000000003,0.5525178591549298
0.28600000000000003,0.5495086993006997
0.28800000000000003,0.5465413333333329
0.29000000000000004,0.5436148965517246
0.292,0.5407285479452053
0.294,0.5378814693877558
0.296,0.5350728648648653
0.298,0.5323019597315437
0.3,0.5295679999999999
0.302,0.5268702516556286
0.304,0.5242079999999996
0.306,0.5215805490196078
0.308,0.5189872207792205
0.31,0.5164273548387095
0.312,0.5139003076923085
0.314,0.5114054522292998
0.316,0.5089421772151902
0.318,0.5065098867924528
0.32,0.5041080000000006
0.322,0.501735950310559
0.324,0.499393185185186
0.326,0.4970791656441714
0.328,0.4947933658536583
0.33,0.49253527272727293
0.332,0.4903043855421684
0.334,0.4881002155688628
0.336,0.4859222857142863
0.338,0.4837701301775152
0.34,0.4816432941176469
0.342,0.4795413333333334
0.34400000000000003,0.47746381395348925
0.34600000000000003,0.47541031213872925
0.34800000000000003,0.47338041379310347
0.35000000000000003,0.4713737142857143
0.35200000000000004,0.46938981818181835
0.354,0.46742833898305053
0.356,0.46548889887640527
0.358,0.46357112849162035
0.36,0.4616746666666667
0.362,0.4597991602209952
0.364,0.4579442637362646
0.366,0.45610963934426313
0.368,0.4542949565217391
0.37,0.4524998918918924
0.372,0.45072412903225756
0.374,0.4489673582887708
0.376,0.4472292765957441
0.378,0.4455095873015882
0.38,0.44380800000000037
0.382,0.442124230366492
0.384,0.4404580000000004
0.386,0.4388090362694301
0.388,0.43717707216494844
0.39,0.4355618461538473
0.392,0.4339631020408167
0.394,0.43238058883248737
0.396,0.43081406060606153
0.398,0.42926327638190903
0.4,0.4277280000000001
0.402,0.4262080000000008
0.404,0.4247030495049504
0.406,0.4232129261083742
