n,c
10.,0.20040080160320642
11.,0.19131084368082063
12.,0.1837375559564375
13.,0.17733093808066244
14.,0.17184098980410129
15.,0.1670843776106934
16.,0.16292360136354522
17.,0.1592535138992928
18.,0.15599233409101038
19.,0.15307549789125305
20.,0.15045135406218657
21.,0.14807808969710864
22.,0.14592149423610098
23.,0.14395330678194565
24.,0.1421499765870627
25.,0.14049172102358254
26.,0.13896180094494023
27.,0.13754595707822648
28.,0.13623196718960623
29.,0.13500929487068533
30.,0.13386880856760375
31.,0.13280255499159457
32.,0.13180357501506326
33.,0.13086575304110706
34.,0.12998369295488385
35.,0.12915261534046066
36.,0.12836827182818744
37.,0.12762687333168596
38.,0.12692502961584023
39.,0.12625969816201954
40.,0.12562814070351758
41.,0.1250278861216595
42.,0.12445669864246463
43.,0.1239125504709846
44.,0.12339359815732227
45.,0.1228981621138484
46.,0.12242470880408549
47.,0.12197183520535135
48.,0.12153825521357205
49.,0.12112278771281171
50.,0.12072434607645875
51.,0.12034192890356665
52.,0.11997461182407852
53.,0.11962154023176198
54.,0.11928192282459593
55.,0.11895502584984216
56.,0.11864016796571658
57.,0.11833671564393719
58.,0.11804407904787034
59.,0.11776170832984884
60.,0.11748909029875797
61.,0.11722574541540016
62.,0.11697122507863066
63.,0.11672510916995656
64.,0.11648700382832963
65.,0.11625653943034296
66.,0.1160333687540459
67.,0.11581716530719376
68.,0.11560762180300461
69.,0.11540444876845923
70.,0.1152073732718894
71.,0.11501613775809408
72.,0.11483049898052923
73.,0.11465022702126278
74.,0.11447510439039281
75.,0.11430492519751219
76.,0.11413949438858392
77.,0.11397862704228083
78.,0.11382214772045281
79.,0.11366988986792581
80.,0.11352169525731584
81.,0.11337741347496788
82.,0.113236901444509
83.,0.11310002298484338
84.,0.11296664839971926
85.,0.11283665409626749
86.,0.11270992223015366
87.,0.11258634037520268
88.,0.11246580121554874
89.,0.11234820225853931
90.,0.1122334455667789
91.,0.11212143750784018
92.,0.11201208852029834
93.,0.11190531289486007
94.,0.11180102856946283
95.,0.1116991569373155
96.,0.1115996226669362
97.,0.11150235353332201
98.,0.11140728025945518
99.,0.11131433636741492
100.,0.11122345803842265
101.,0.11113458398120124
102.,0.11104765530807792
103.,0.11096261541830452
104.,0.11087940988810906
105.,0.11079798636703038
106.,0.11071829448012034
107.,0.11064028573563024
108.,0.1105639134378256
109.,0.11048913260460025
110.,0.1104158998895841
111.,0.11034417350846139
112.,0.11027391316923611
113.,0.11020508000620016
114.,0.11013763651737687
115.,0.1100715465052284
116.,0.11000677502042983
117.,0.10994328830852684
118.,0.10988105375930556
119.,0.10982003985871525
120.,0.10976021614319487
121.,0.10970155315626443
122.,0.10964402240725113
123.,0.109587596332029
124.,0.10953224825565808
125.,0.10947795235681702
126.,0.10942468363392938
127.,0.1093724178728901
128.,0.10932113161630501
129.,0.10927080213416096
130.,0.10922140739584958
131.,0.1091729260434725
132.,0.10912533736635989
133.,0.10907862127673856
134.,0.10903275828648963
135.,0.10898772948493902
136.,0.10894351651762796
137.,0.1089001015660131
138.,0.10885746732804934
139.,0.10881559699961074
140.,0.10877447425670776
141.,0.10873408323846105
142.,0.10869440853079484
143.,0.10865543515081445
144.,0.1086171485318347
145.,0.10857953450902787
146.,0.10854257930566147
147.,0.10850626951989777
148.,0.10847059211212838
149.,0.10843553439281897
150.,0.10840108401084012
151.,0.1083672289422618
152.,0.10833395747959042
153.,0.10830125822142757
154.,0.10826912006253202
155.,0.1082375321842662
156.,0.10820648404541022
157.,0.10817596537332691
158.,0.1081459661554624
159.,0.10811647663116736
160.,0.10808748728382503
161.,0.10805898883327256
162.,0.1080309722285031
163.,0.10800342864063639
164.,0.1079763494561467
165.,0.10794972627033696
166.,0.10792355088104863
167.,0.10789781528259779
168.,0.10787251165992766
169.,0.10784763238296875
170.,0.10782317000119804
171.,0.10779911723838911
172.,0.10777546698754542
173.,0.10775221230600922
174.,0.10772934641073921
175.,0.1077068626737501
176.,0.10768475461770755
177.,0.10766301591167257
178.,0.10764164036698928
179.,0.10762062193331051
180.,0.10759995469475592
181.,0.10757963286619741
182.,0.1075596507896671
183.,0.10754000293088298
184.,0.10752068387588788
185.,0.10750168832779745
186.,0.1074830111036531
187.,0.10746464713137581
