c,<n>/kpt
0.001,-0.0003999516730964392
0.011,-0.0005573958761409812
0.021,-0.00019008992979750597
0.031,0.00031656627928358747
0.041,0.0008969310676680553
0.051000000000000004,0.0015245163234908084
0.061,0.0021854678470603663
0.07100000000000001,0.0028714558248861865
0.081,0.003577007589455004
0.091,0.004298298342339643
0.101,0.005032529974615877
0.111,0.005777582106084345
0.121,0.006531802325901942
0.131,0.0072938732288810515
0.14100000000000001,0.008062724438549619
0.151,0.008837472299060276
0.161,0.009617377286433974
0.171,0.010401813160965993
0.181,0.011190244129866255
0.191,0.011982207614571461
0.201,0.012777301027193606
0.211,0.013575171471240946
0.221,0.01437550761260062
0.231,0.01517803318637223
0.241,0.01598250175408139
0.251,0.016788692428797318
0.261,0.01759640635816158
0.271,0.018405463807164766
0.281,0.019215701720110948
0.291,0.02002697166885784
0.301,0.020839138114998712
0.311,0.02165207692914281
0.321,0.02246567412223447
0.331,0.02327982475290223
0.341,0.024094431981844
0.35100000000000003,0.024909406249738357
0.361,0.0257246645594919
0.371,0.026540129847061694
0.381,0.02735573042783225
0.391,0.028171399507731593
0.401,0.028987074750055297
0.41100000000000003,0.029802697890421094
0.421,0.03061821439346584
0.431,0.031433573145876255
0.441,0.03224872618115449
0.451,0.03306362843219289
0.461,0.033878237508293677
0.47100000000000003,0.03469251349374107
0.481,0.0355064187654288
0.491,0.036319917827382156
0.501,0.037132977160296655
0.511,0.03794556508445872
0.521,0.03875765163461877
0.531,0.039569208445565766
0.541,0.04038020864730305
0.551,0.041190626768857624
0.561,0.042000438649867695
0.5710000000000001,0.04280962135919227
0.581,0.043618153119871536
0.591,0.044426013239842146
0.601,0.04523318204787546
0.611,0.0460396408342655
0.621,0.04684537179584161
0.631,0.047650357984926756
0.641,0.04845458326189955
0.651,0.04925803225105411
0.661,0.050060690299480536
0.671,0.05086254343871768
0.681,0.05166357834895194
0.6910000000000001,0.05246378232555889
0.7010000000000001,0.05326314324780219
0.711,0.054061649549522486
0.721,0.05485929019166328
0.731,0.055656054636494784
0.741,0.056451932823409524
0.751,0.05724691514617333
0.761,0.058040992431526675
0.771,0.05883415591903925
0.781,0.05962639724212912
0.791,0.06041770841016539
0.801,0.06120808179157941
0.811,0.06199751009791612
0.8210000000000001,0.06278598636876202
0.8310000000000001,0.06357350395749205
0.841,0.0643600565177809
0.851,0.06514563799083016
0.861,0.06593024259326442
0.871,0.06671386480565492
0.881,0.06749649936163055
0.891,0.06827814123754092
0.901,0.0690587856426366
0.911,0.06983842800973611
0.921,0.0706170639863501
0.931,0.0713946894262358
0.9410000000000001,0.07217130038135652
0.9510000000000001,0.07294689309422278
0.961,0.07372146399059312
0.971,0.0744950096725143
0.981,0.07526752691168165
0.991,0.07603901264310223
1.001,0.0768094639590434
1.011,0.07757887810325212
1.021,0.07834725246542965
1.031,0.07911458457594854
1.041,0.07988087210079882
1.051,0.08064611283675152
1.061,0.08141030470672815
1.071,0.0821734457553657
1.081,0.08293553414476701
1.091,0.08369656815042753
1.101,0.08445654615732909
1.111,0.08521546665619315
1.121,0.08597332823988482
1.131,0.08673012959996142
1.141,0.08748586952335735
1.151,0.0882405468892
1.1609999999999998,0.08899416066574944
1.1709999999999998,0.08974670990745703
1.1809999999999998,0.09049819375213648
1.1909999999999998,0.09124861141824298
1.2009999999999998,0.09199796220225487
1.2109999999999999,0.09274624547615365
1.2209999999999999,0.09349346068499764
1.2309999999999999,0.09423960734458504
1.2409999999999999,0.09498468503920268
1.251,0.09572869341945654
1.261,0.09647163220018062
1.271,0.09721350115842045
1.281,0.09795430013148847
1.291,0.09869402901508792
1.301,0.09943268776150235
1.311,0.1001702763778485
1.321,0.10090679492438878
1.331,0.10164224351290234
1.341,0.10237662230511124
1.351,0.10310993151115988
1.361,0.10384217138814561
1.371,0.10457334223869817
1.381,0.10530344440960658
1.391,0.10603247829049088
1.401,0.10676044431251747
1.4109999999999998,0.10748734294715612
1.4209999999999998,0.10821317470497756
1.4309999999999998,0.10893794013448893
1.4409999999999998,0.10966163982100693
1.4509999999999998,0.11038427438556657
1.4609999999999999,0.11110584448386421
1.4709999999999999,0.1118263508052337
1.4809999999999999,0.1125457940716546
1.4909999999999999,0.1132641750367907
1.501,0.11398149448505868
1.511,0.11469775323072459
1.521,0.11541295211702843
1.531,0.1161270920153348
1.541,0.11684017382430928
1.551,0.11755219846911945
1.561,0.11826316690065937
1.571,0.11897308009479746
1.581,0.11968193905164634
1.591,0.12038974479485381
1.601,0.12109649837091475
1.611,0.12180220084850288
1.621,0.12250685331782166
1.631,0.12321045688997402
1.641,0.12391301269634987
1.651,0.124614521888031
1.661,0.125314985635213
1.6709999999999998,0.12601440512664322
1.6809999999999998,0.1267127815690745
1.6909999999999998,0.12741011618673406
1.7009999999999998,0.12810641022080738
1.7109999999999999,0.12880166492893594
1.7209999999999999,0.12949588158472897
1.7309999999999999,0.1301890614772885
1.7409999999999999,0.13088120591074742
1.751,0.13157231620381987
1.761,0.1322623936893639
1.771,0.13295143971395582
1.781,0.13363945563747612
1.791,0.1343264428327059
1.801,0.13501240268493486
1.811,0.13569733659157865
1.821,0.13638124596180717
1.831,0.13706413221618202
1.841,0.13774599678630378
1.851,0.13842684111446807
1.861,0.1391066666533311
1.871,0.13978547486558313
1.881,0.14046326722363114
1.891,0.14114004520928877
1.901,0.14181581031347504
1.911,0.1424905640359198
1.9209999999999998,0.14316430788487763
1.9309999999999998,0.14383704337684824
1.9409999999999998,0.14450877203630427
1.9509999999999998,0.14517949539542555
1.9609999999999999,0.1458492149938407
1.9709999999999999,0.14651793237837432
1.9809999999999999,0.14718564910280119
1.9909999999999999,0.1478523667276061
2.001,0.1485180868197498
2.011,0.14918281095244063
2.021,0.149846540704912
2.031,0.15050927766220487
2.041,0.15117102341495597
2.0509999999999997,0.15183177955919092
2.061,0.15249154769612266
2.0709999999999997,0.1531503294319541
2.081,0.15380812637768662
2.0909999999999997,0.15446494014893195
2.101,0.15512077236572966
2.1109999999999998,0.15577562465236822
2.121,0.15642949863721087
2.131,0.15708239595252524
2.141,0.15773431823431755
2.151,0.15838526712216994
2.161,0.1590352442590827
2.171,0.15968425129131897
2.181,0.1603322898682546
2.191,0.16097936164223006
2.201,0.161625468268407
2.211,0.1622706114046272
2.221,0.16291479271127596
2.231,0.1635580138511472
2.241,0.16420027648931354
2.251,0.1648415822929974
2.261,0.1654819329314469
2.271,0.16612133007581323
2.281,0.1667597753990321
2.291,0.16739727057570666
2.301,0.16803381728199435
2.311,0.16866941719549525
2.3209999999999997,0.16930407199514416
2.331,0.16993778336110396
2.3409999999999997,0.1705705529746623
2.351,0.17120238251813047
2.3609999999999998,0.1718332736747442
2.371,0.17246322812856726
2.381,0.17309224756439695
2.391,0.17372033366767184
2.401,0.17434748812438164
2.411,0.1749737126209791
2.421,0.17559900884429397
2.431,0.1762233784814487
2.441,0.17684682321977654
2.451,0.177469344746741
2.461,0.17809094474985743
2.471,0.1787116249166162
2.481,0.17933138693440803
2.491,0.17995023249045042
2.501,0.1805681632717162
2.511,0.18118518096486377
2.521,0.18180128725616818
2.531,0.18241648383145503
2.541,0.1830307723760347
2.551,0.18364415457463873
2.561,0.18425663211135743
2.5709999999999997,0.18486820666957895
2.581,0.18547887993192982
2.5909999999999997,0.18608865358021673
2.601,0.18669752929536967
2.6109999999999998,0.1873055087573864
2.621,0.1879125936452781
2.631,0.18851878563701632
2.641,0.18912408640948164
2.651,0.1897284976384121
2.661,0.1903320209983545
2.671,0.19093465816261584
2.681,0.19153641080321618
2.691,0.19213728059084204
2.701,0.1927372691948019
2.711,0.19333637828298209
2.721,0.1939346095218034
2.731,0.19453196457617944
2.741,0.19512844510947538
2.751,0.19572405278346794
2.761,0.1963187892583064
2.771,0.19691265619247406
2.781,0.19750565524275107
2.791,0.198097788064178
2.801,0.19868905631002012
2.811,0.19927946163173277
2.8209999999999997,0.19986900567892707
2.831,0.20045769009933756
2.8409999999999997,0.20104551653878883
2.851,0.20163248664116473
2.8609999999999998,0.202218602048377
2.871,0.2028038644003357
2.881,0.20338827533491954
2.891,0.2039718364879471
2.901,0.20455454949314905
2.911,0.20513641598214116
2.921,0.20571743758439703
2.931,0.2062976159272228
2.941,0.20687695263573122
2.951,0.20745544933281754
2.961,0.20803310763913496
2.971,0.20860992917307153
2.981,0.20918591555072674
2.991,0.20976106838589004
3.001,0.2103353892900181
3.011,0.21090887987221446
3.021,0.2114815417392082
3.031,0.21205337649533446
3.041,0.2126243857425143
3.051,0.21319457108023604
3.061,0.21376393410553618
3.071,0.2143324764129818
3.081,0.21490019959465267
3.0909999999999997,0.21546710524012416
3.101,0.2160331949364505
3.1109999999999998,0.21659847026814866
3.121,0.21716293281718232
3.131,0.21772658416294696
3.141,0.2182894258822544
3.151,0.21885145954931862
3.161,0.21941268673574157
3.171,0.2199731090104995
3.181,0.22053272793992948
3.191,0.2210915450877167
3.201,0.22164956201488184
3.211,0.22220678027976873
3.221,0.22276320143803274
3.231,0.2233188270426294
3.241,0.22387365864380288
3.251,0.22442769778907556
3.261,0.22498094602323762
3.271,0.2255334048883367
3.281,0.22608507592366833
3.291,0.22663596066576627
3.301,0.22718606064839353
3.311,0.22773537740253336
3.321,0.22828391245638086
3.331,0.2288316673353346
3.3409999999999997,0.2293786435619886
3.351,0.22992484265612478
