c,Err_koff
0.0025,53.373099999999994
0.0125,10.781099999999999
0.0225,6.048655555555553
0.0325,4.228484615384615
0.0425,3.264864705882352
0.052500000000000005,2.668338095238094
0.0625,2.2626999999999997
0.07250000000000001,1.9689620689655165
0.0825,1.7464333333333328
0.0925,1.5720189189189189
0.10250000000000001,1.431636585365854
0.1125,1.3162111111111108
0.1225,1.2196306122448977
0.1325,1.1376283018867928
0.14250000000000002,1.0671350877192975
0.1525,1.0058868852459013
0.1625,0.9521769230769229
0.17250000000000001,0.9046942028985508
0.1825,0.8624150684931504
0.1925,0.8245285714285716
0.2025,0.7903839506172837
0.2125,0.7594529411764701
0.2225,0.731302247191011
0.2325,0.7055731182795697
0.2425,0.6819659793814429
0.25,0.6655000000000001
0.35,0.5133857142857142
0.45,0.4288777777777777
0.55,0.3750999999999999
0.65,0.33786923076923064
0.75,0.3105666666666667
0.8500000000000001,0.2896882352941177
0.9500000000000001,0.27320526315789484
1.05,0.2598619047619047
1.15,0.2488391304347826
1.25,0.23957999999999988
1.25,0.23957999999999988
2.25,0.19225555555555562
3.25,0.17405384615384625
4.25,0.16441764705882353
5.25,0.15845238095238098
6.25,0.15439599999999953
7.25,0.1514586206896548
8.25,0.14923333333333375
9.25,0.14748918918918896
10.25,0.1460853658536583
11.25,0.14493111111111112
12.25,0.14396530612244807
13.25,0.1431452830188683
14.25,0.14244035087719312
15.25,0.14182786885245852
16.25,0.14129076923076872
17.25,0.140815942028986
18.25,0.14039315068493158
19.25,0.14001428571428542
20.25,0.13967283950617157
21.25,0.1393635294117652
22.25,0.13908202247191148
23.25,0.13882473118279573
24.25,0.13858865979381424
25.25,0.1383712871287147
26.25,0.13817047619047618
27.25,0.13798440366972384
28.25,0.13781150442477896
29.25,0.13765042735042782
30.25,0.13750000000000007
