n,x
800.,4.
800.5,4.012531328320802
801.,4.025125628140704
801.5,4.037783375314861
802.,4.050505050505051
802.5,4.063291139240507
803.,4.0761421319796955
803.5,4.089058524173028
804.,4.1020408163265305
804.5,4.115089514066496
805.,4.128205128205129
805.5,4.141388174807197
806.,4.154639175257732
806.5,4.167958656330749
807.,4.181347150259067
807.5,4.194805194805195
808.,4.208333333333333
808.5,4.221932114882507
809.,4.235602094240838
809.5,4.2493438320209975
810.,4.263157894736842
810.5,4.277044854881266
811.,4.291005291005291
811.5,4.305039787798409
812.,4.319148936170213
812.5,4.333333333333333
813.,4.347593582887701
813.5,4.361930294906166
814.,4.376344086021506
814.5,4.390835579514825
815.,4.405405405405405
815.5,4.420054200542006
816.,4.434782608695652
816.5,4.449591280653951
817.,4.46448087431694
817.5,4.47945205479452
818.,4.4945054945054945
818.5,4.509641873278237
819.,4.524861878453039
819.5,4.54016620498615
820.,4.555555555555555
820.5,4.571030640668524
821.,4.58659217877095
821.5,4.602240896358543
822.,4.617977528089887
822.5,4.633802816901409
823.,4.649717514124294
823.5,4.6657223796034
824.,4.681818181818182
824.5,4.698005698005698
825.,4.714285714285714
825.5,4.730659025787966
826.,4.747126436781609
826.5,4.763688760806916
827.,4.780346820809248
827.5,4.797101449275362
828.,4.813953488372093
828.5,4.830903790087463
829.,4.847953216374269
829.5,4.865102639296188
830.,4.88235294117647
830.5,4.899705014749262
831.,4.9171597633136095
831.5,4.9347181008902075
832.,4.9523809523809526
832.5,4.970149253731344
833.,4.9880239520958085
833.5,5.006006006006006
834.,5.024096385542169
834.5,5.042296072507553
835.,5.0606060606060606
835.5,5.079027355623101
836.,5.097560975609756
836.5,5.116207951070336
837.,5.134969325153374
837.5,5.153846153846154
838.,5.172839506172839
838.5,5.191950464396285
839.,5.211180124223602
839.5,5.230529595015576
840.,5.25
840.5,5.269592476489028
841.,5.289308176100629
841.5,5.309148264984227
842.,5.329113924050633
842.5,5.349206349206349
843.,5.369426751592357
843.5,5.3897763578274756
844.,5.41025641025641
844.5,5.430868167202572
845.,5.451612903225806
845.5,5.472491909385114
846.,5.4935064935064934
846.5,5.514657980456026
847.,5.5359477124183005
847.5,5.557377049180328
848.,5.578947368421052
848.5,5.600660066006601
849.,5.622516556291391
849.5,5.644518272425249
850.,5.666666666666667
850.5,5.688963210702341
851.,5.7114093959731544
851.5,5.7340067340067336
852.,5.756756756756757
852.5,5.779661016949152
853.,5.802721088435374
853.5,5.825938566552901
854.,5.8493150684931505
854.5,5.8728522336769755
855.,5.896551724137931
855.5,5.920415224913495
856.,5.944444444444444
856.5,5.968641114982578
857.,5.993006993006993
857.5,6.017543859649123
858.,6.042253521126761
858.5,6.067137809187279
859.,6.092198581560283
859.5,6.117437722419928
860.,6.142857142857142
860.5,6.168458781362007
861.,6.194244604316547
861.5,6.220216606498195
862.,6.246376811594203
862.5,6.2727272727272725
863.,6.299270072992701
863.5,6.326007326007326
864.,6.352941176470588
864.5,6.380073800738007
865.,6.407407407407407
865.5,6.434944237918216
866.,6.462686567164179
866.5,6.49063670411985
867.,6.518796992481203
867.5,6.547169811320755
868.,6.575757575757576
868.5,6.604562737642586
869.,6.633587786259541
869.5,6.662835249042145
870.,6.6923076923076925
870.5,6.722007722007723
871.,6.751937984496124
871.5,6.782101167315175
872.,6.8125
872.5,6.8431372549019605
873.,6.874015748031496
873.5,6.905138339920948
874.,6.936507936507936
874.5,6.968127490039841
875.,7.
875.5,7.032128514056224
876.,7.064516129032258
876.5,7.097165991902834
877.,7.130081300813009
877.5,7.16326530612245
878.,7.19672131147541
878.5,7.23045267489712
879.,7.264462809917355
879.5,7.2987551867219915
880.,7.333333333333333
880.5,7.368200836820083
881.,7.403361344537815
881.5,7.438818565400843
882.,7.47457627118644
882.5,7.51063829787234
883.,7.547008547008548
883.5,7.583690987124464
884.,7.620689655172414
884.5,7.658008658008658
885.,7.695652173913044
885.5,7.7336244541484715
886.,7.771929824561403
886.5,7.810572687224671
887.,7.849557522123893
887.5,7.888888888888889
888.,7.928571428571428
888.5,7.968609865470852
889.,8.00900900900901
889.5,8.04977375565611
890.,8.09090909090909
890.5,8.132420091324201
891.,8.174311926605505
891.5,8.216589861751151
892.,8.25925925925926
892.5,8.30232558139535
893.,8.345794392523365
893.5,8.389671361502348
894.,8.433962264150942
894.5,8.47867298578199
895.,8.523809523809524
895.5,8.569377990430622
896.,8.615384615384617
896.5,8.66183574879227
897.,8.70873786407767
