c,Err_c
0.002,61.73020608320796
0.004,30.927717045702966
0.006,20.660224715867976
0.008,15.526481568950487
0.01,12.446238099999995
0.012,10.392744474033
0.014,8.925965047485146
0.016,7.825881998574253
0.018000000000000002,6.970263204088013
0.020000000000000004,6.285769390099009
0.022,5.725730109562558
0.024,5.259031731115512
0.026000000000000002,4.864134048429547
0.028000000000000004,4.525651199841583
0.03,4.2323002201320135
0.032,3.975618885386138
0.034,3.7491360831986014
0.036000000000000004,3.547818726143017
0.038000000000000006,3.3676933241459066
0.04,3.2055810851485154
0.042,3.058908701293729
0.044000000000000004,2.9255707388802876
0.046,2.8038279265897543
0.048,2.6922308716567636
0.05,2.589562084158415
0.052000000000000005,2.4947913803137864
0.054000000000000006,2.4070411961613485
0.056,2.3255593340198017
0.058,2.249697347612153
0.060000000000000005,2.1788932501650153
0.062,2.112657569327372
0.064,2.050562016792078
0.066,1.9922302179861973
0.068,1.9373300776983113
0.07,1.885567454455445
0.07200000000000001,1.8366808891705177
0.07400000000000001,1.7904371886036932
0.076,1.7466277061719657
0.078,1.705065194941864
0.08,1.6655811326732675
0.082,1.628023438320214
0.084,1.5922545147458746
0.08600000000000001,1.5581495645470878
0.08800000000000001,1.5255951355391542
0.09,1.494487860176017
0.092,1.4647333593938874
0.094,1.43624528638972
0.096,1.4089444899273933
0.098,1.38275828009618
0.1,1.3576197821782174
0.10200000000000001,1.3334673665315477
0.10400000000000001,1.3102441442559023
0.10600000000000001,1.2878975199529237
0.108,1.2663787941796858
0.11,1.245642809270927
0.112,1.2256476331089112
0.114,1.2063542761806505
0.116,1.1877264379050867
0.11800000000000001,1.1697302787575088
0.12000000000000001,1.1523342151815177
0.122,1.1355087346735921
0.124,1.1192262287626957
0.126,1.1034608418965894
0.128,1.0881883344950494
0.13,1.0733859586443264
0.132,1.0590323450921089
0.134,1.0451074003623455
0.136,1.0315922129481665
0.138,1.0184689676619314
0.14,1.005720867326733
0.14200000000000002,0.9933320610854838
0.14400000000000002,0.9812875786842687
0.14600000000000002,0.9695732701570593
0.148,0.9581757504008568
0.15,0.9470823481848186
0.152,0.9362810591849923
0.154,0.9257605026786682
0.156,0.915509881569941
0.158,0.9055189454513095
0.16,0.8957779564356436
0.162,0.8862776575191293
0.164,0.8770092432591164
0.166,0.8679643325716332
0.168,0.8591349434719475
0.17,0.8505134695981357
0.17200000000000001,0.8420926583725545
0.17400000000000002,0.8338655906693986
0.17600000000000002,0.8258256618685862
0.178,0.8179665641868956
0.18,0.8102822701870185
0.182,0.8027670173739534
0.184,0.7954152937959533
0.186,0.7882218245744707
0.188,0.7811815592938695
